word,m_embodiment,sd_embodiment
expand,3.45,1.63
expect,2.03,1.11
expel,3.94,1.5
expire,2.39,1.54
explain,3.77,1.91
extend,3.77,1.56
fade,2.36,1.4
fail,3.42,1.65
faint,6,1.47
fall,5.89,1.47
falter,3.45,1.43
fasten,3.35,1.68
fatten,5.03,1.7
fear,4.13,1.94
feel,4.77,1.93
fetch,5.28,1.73
fight,5.92,1.32
find,3.25,1.81
flatten,4,1.66
flaunt,4.17,1.82
flee,4.74,1.9
flex,6.28,1.14
float,4.06,1.73
flourish,2.84,1.61
focus,4.03,1.99
follow,4.45,1.65
forbid,2.97,1.92
force,4.39,1.65
forecast,1.97,1.44
foresee,2.58,1.76
foretell,2.77,1.73
forget,3.48,1.79
forgive,2.87,1.59
formulate,2.65,1.4
found,2.9,1.42
freeze,3.97,2.12
frown,5.81,1.3
frustrate,3.35,1.98
fry,2.97,1.62
fuse,2.94,1.83
gain,3.34,1.91
gape,3.91,1.92
gargle,5.61,1.33
gasp,5.1,2.1
gather,4.39,1.76
get,3.19,1.56
giggle,5.74,1.21
give,4.06,1.48
glide,5.03,1.9
gloat,3.52,1.77
go,5.13,1.89
gobble,4.84,1.9
golf,6.26,1.2
gouge,4.72,1.34
govern,3.26,1.65
greet,4.19,1.92
grieve,4.03,1.95
grimace,5.23,1.73
groan,5.26,1.59
grow,6.08,1.27
grumble,5.14,1.78
guide,3.61,1.95
guzzle,4.86,1.85
halt,4,1.41
hang,5.53,1.72
harass,4.29,1.64
harm,4.53,1.76
harvest,3.84,2.03
hasten,3.69,2
hate,3.26,1.86
have,2.87,1.73
heal,5.33,1.72
hear,5.94,1.61
help,4.1,1.76
hesitate,3.92,1.79
hike,6.06,1.34
hinder,3.11,1.83
hire,2.77,1.71
hiss,4.61,1.71
hope,2.68,1.81
howl,4.42,1.91
hunt,5.33,1.72
hurry,4.83,1.68
hurt,5.42,1.71
hustle,4.89,1.81
ignite,3.23,1.59
ignore,3.06,1.84
imagine,3.81,2.06
impair,3.57,1.93
impale,3.9,1.76
implode,3.06,1.65
imply,2.69,1.62
improve,3.65,1.84
induce,2.65,1.47
infect,4.29,1.79
infer,2.5,1.65
infest,3,1.8
inform,3.06,1.59
ingest,6.29,1.04
inject,5.06,1.64
injure,5.92,1.56
insist,2.84,1.75
insult,4.11,2.01
intend,2.52,1.63
interpret,3.13,1.98
intrigue,2.84,1.51
introduce,3.65,1.84
invade,3.61,1.98
invent,3.06,1.48
invest,2.84,1.77
invigorate,3.37,1.85
invite,3.1,1.64
jog,6.53,1.03
join,3.58,1.48
juggle,5.97,1.59
keep,3.17,1.98
kick,6.32,0.87
kidnap,5.39,1.89
kill,5.84,1.34
kneel,5.81,1.4
know,3,2.06
lay,5.81,1.62
leap*,6,1.64
learn,4.55,1.89
lend,3.47,1.99
lengthen,3.45,1.82
let,2.74,1.59
lick,5.97,1.33
lie,4.03,1.85
lift,5.97,1.59
like,3.1,1.89
linger,3.58,1.46
listen,4.69,2.12
locate,3.52,1.82
look,5.42,1.98
loosen,4,1.64
lose,3.19,1.64
love,4.68,1.9
lurk,4.64,1.81
make,3.89,1.74
manage,3.03,1.54
marinade,2.29,1.47
marry,4.22,2.31
mash,3.74,2.08
measure,3.9,1.68
meditate,4.65,1.56
meet,4.16,1.71
melt,2.45,1.36
memorize,3.56,1.95
mingle,4.5,1.99
mislead,3.08,1.59
moan,5.64,1.61
modify,3.35,1.36
molest,6.03,1.42
motivate,2.94,1.71
mourn,3.53,1.83
move,6.11,1.43
munch,5.78,1.38
murder,5.71,1.62
nag,4.11,1.94
need,3,1.79
nestle,5.19,1.72
nominate,3.11,2.01
notify,3.08,1.86
nurture,4.42,1.63
obey,2.81,1.7
obstruct,3.61,1.58
obtain,3.42,1.71
occupy,4.47,1.92
occur,2.26,1.57
offend,3.29,1.81
offer,2.84,1.73
oppose,3.06,1.63
organize,3.48,1.57
owe,2.35,1.45
own,3.22,1.96
participate,4.11,1.92
pat,5.42,1.54
pause,3.83,1.79
