word,imageability,sd_rating,rt,sd_rt,n_raters
dowse,2.6,2.1,1516.6,894.9,31
doze,4.1,2.2,1426.7,843.6,29
drab,2.7,2,1467.7,870.6,29
draft,4,2.3,1528.6,922.9,30
drag,4.5,2.5,1554.4,1051.6,31
drain,5.5,2,1433,1146,29
drake,3.7,2.6,2057.7,1360.7,30
drank,4.6,2.2,1248.8,702.8,30
drape,4.7,2.4,1548.1,663.5,30
draught,2.4,1.9,1755.2,936.2,26
draw,5,2.2,1695.8,1416.1,30
drawer,6,2,1355.9,1304.2,29
drawl,2.8,1.9,1794.5,998.6,30
dread,2.7,1.9,1601.1,806.1,30
dream,4.9,2.3,1379.7,633.5,30
dreamt,3.2,2.2,1521.2,814.5,29
dredge,2.6,2,1501.6,1053.6,30
drench,4.2,2.4,1245.9,739.7,29
dress,6,1.7,1115,639.9,31
drew,3.9,2.3,1625.3,945.6,29
drift,3.5,2.1,1773.6,1118,28
drill,6,1.6,1189.4,547.7,28
drink,5.7,1.7,1518.8,980.7,31
drip,4.9,2.1,1309,506.5,30
drive,5.3,2.1,1387.3,763.8,31
droll,2.2,1.6,1625.7,1064.7,31
drone,3.1,2.3,1647.6,1172.5,30
drool,5,2.2,1460.9,887.5,28
droop,3.6,2.1,1485.5,859.7,29
drop,4.3,2.2,1679.9,1031.9,31
drought,3.8,2.3,1855.7,976.3,31
drove,4.4,2.1,1522.9,855,28
drown,4.7,1.9,1678.9,940.5,28
drowse,2.8,1.8,1770.1,1246.2,29
drug,5.6,2,1289.6,689.1,30
drum,6.4,1.6,987.6,409.6,30
drunk,5,1.8,1418.1,640.4,30
dry,3.8,2.1,1714,975,28
dub,2,1.7,1300,759.6,31
duck,6.5,1.5,1059.9,475.6,31
duct,3.5,2.4,1580,1368.8,31
dud,3,2.2,1380.1,839,29
dude,5.2,2.2,1424.6,688.6,30
due,2.1,1.6,1485.6,1187.6,28
dug,4.7,2.2,1436.7,598.2,30
duke,4.6,2.5,1607,1003.1,30
dull,3,1.9,1447,911.7,31
dumb,3.5,2.2,1558.9,1042.6,29
dump,4.7,2,1427.7,718.1,28
dunce,3.3,2.4,1644.9,1287.8,30
dune,4.5,2.5,1375.7,755.4,31
dung,3.7,2.5,1467.9,764.6,30
dunk,4.9,2.1,1578,1300.7,31
dupe,1.9,1.4,1516.2,908.7,30
dusk,5.2,1.9,1639.4,1068.6,28
dust,5.2,2.2,1010.6,372.1,30
dwarf,6.4,1.5,1098.6,604.8,31
dwell,3.1,2,1488.5,929.6,31
dye,5.2,2.3,1380.4,896.6,31
each,2.3,2,1380.8,1022.4,28
ear,6.8,0.9,865,235.4,30
earl,3.2,2.1,1579.5,979.8,29
earn,3,2.1,1449,976.4,29
earth,6.5,1.6,1113.8,829.7,31
ease,2.6,2,1728.9,1220.9,30
east,4.2,2.4,1590,792.1,29
eat,4.8,2.3,1245.5,619.6,30
ebb,1.4,0.8,1325.6,732.7,30
edge,5.1,2,1521.8,729,31
eel,6.3,1.7,1203.9,484.6,30
eight,5.9,2,1213.7,550.5,30
eke,1.6,1.3,1208.6,689.7,31
elf,6.6,1.2,1104.2,511.8,31
elk,6,2,1075.6,416.3,30
elm,5.8,1.8,1482.2,909.8,29
else,1.7,1,1309.6,838.4,31
elves,6.5,1.3,1255.8,507.1,31
end,3,2.3,1637.7,1294.8,29
etch,3.2,2.3,1455.9,786,29
eve,3.3,2.2,1657.2,854.1,29
ewe,3.9,2.6,1510.6,906.4,28
eye,6.7,1.2,1015.3,463.9,31
face,6.4,1.1,1396.3,815,30
fact,2.6,2.1,1309.6,784.6,28
fad,2.8,1.8,1518.5,890.4,27
fade,4,2.1,1809.8,1045.4,30
fag,3.7,2.5,1929.4,1357.7,29
fail,3.1,2,1345.9,894.2,30
faint,4.6,2.3,1347.7,643.2,31
fair,3.8,2.4,1399.8,818.5,30
faith,3.5,2.5,1836.1,1491.7,29
fake,3.2,2.1,1800.8,1116,28
fall,4.8,2,1444.4,724.4,30
false ,2.7,2.1,1401.8,708.7,31
fame,3.5,2,1595.1,776.4,26
fan,6,1.9,1046.6,345.1,31
fang,6.1,1.5,1377.6,669.5,30
far,3.5,2.2,1436,834.1,30
farce,2.1,1.3,1430.9,1226.5,30
fare,2.5,1.8,1418,983.1,31
farm,6.2,1.8,1013.2,435.9,30
fast,3,2.1,1386.5,742.2,30
fat,5.8,1.7,1199.4,551.1,30
fate,3,2.1,1614.7,1325.9,28
fault,2.1,1.8,1658.3,1499.1,29
fawn,6.3,1.4,1400.1,881.4,31
faze,2.4,1.9,1830.2,1318.7,30
fear,2.9,1.8,1539.4,857.3,29
feast,5.5,2,1346.2,633.4,29
feat,2.1,1.6,1732.7,1184.7,29
fed,3.4,2.3,1342.4,594.2,29
fee,3.7,2.2,1597.4,800.9,29
feed,4.4,2.3,1460.8,1199.4,30
feel,2.9,1.9,1726.1,1022.2,30
feet,6.7,0.9,1344.2,1102.8,29
feign,2.2,1.6,1425.9,647.9,31
fell,3.7,2.4,1393.6,871.4,31
felt,3.1,2.3,1706,1317.1,30
fence,6.6,0.9,1078.8,419.2,31
fend,2.5,1.9,1559.9,968,29
fern,6.2,1.7,1452.8,1087.9,30
fetch,4,2.2,1912,1214.7,30
feud,3.8,2.4,1538.7,588.9,28
few,2.7,2,1274,648.4,29
fib,3.2,2.3,1402.8,877.6,31
field,6.5,1.3,1239.2,580.1,28
fiend,3.4,2.3,1560.7,896.9,28
fierce,3.6,2.3,1460.1,629.8,30
fife,2.2,1.9,1800.3,1135.2,31
fifth,4.4,2.6,1372.4,816.8,30
fig,5.1,2.2,1495.4,702.4,30
fight,4.8,2.3,1196.5,537.7,29
file,5.8,1.9,1174.3,578,30
fill,3.5,2.2,1677,952.3,30
film,6,1.8,1525.7,1178.2,31
filth,4.6,2.2,1543,854.5,29
fin,5.3,2.4,1254.4,591.4,31
finch,4.3,2.8,1392.5,870.9,31
find,2.5,1.9,1440.7,781.8,29
fine,2.4,1.7,1506.6,848.2,31
fir,3.5,2.6,1815.5,1132.7,29
fire,6.5,1.4,997.8,402,31
firm,4.1,2.1,1784.1,1042.1,28
first,4.1,2.5,1537,944.6,30
fish,6.8,1.1,906.3,342.3,31
fist,6.5,1.3,1522.1,1273.9,31
fit,3.1,1.9,1508.2,971.2,30
five,5.8,2,1380.2,715.4,30
fix,3.2,2.2,1295.8,742.7,27
fizz,4.6,2.2,1418.6,686,29
flag,6.8,0.7,1058.8,615.5,30
flail,2.7,2.3,1194,547.3,29
flair,2.6,1.9,1562.8,954.3,31
flak,1.8,1.1,1563.7,943.9,30
flake,5.2,2.2,1225.2,474.5,27
flame,6.2,1.7,1281.8,632,30
flank,3,2,1641.5,923.6,31
flap,4,2.2,1389.5,1012.7,31
flare,4.5,2.4,1601.4,1139.5,28
flash,4.9,2.3,1296.2,814,30
flask,5,2.2,1511.6,1140.4,29
flat,4.1,2.2,1204.9,560.9,30
flaunt,2.8,2,1400.9,869.3,31
flaw,3.1,2.2,1696.7,1078.5,30
flax,2,1.6,1331,1253.9,30
flea,6.5,1,1098.9,621,29
fleck,2.6,1.8,1497.1,832.6,30
fled,3.9,2.1,1596.7,1238.6,31
flee,3.9,2.1,1526.9,1063.1,27
fleece,5.6,1.9,1580,783.1,31
fleet,4.5,2.4,1843.9,1314.8,31
flesh,5.7,2,1181.8,565.2,31
flew,3.7,2.2,1238.2,566.2,30
flex,4.1,2.2,1275.5,724,29
flick,3.9,2.2,1606.2,818.5,29
flight,5,2,1302.2,574.4,30
flinch,3.9,2,1405.3,830,29
fling,3.6,2.2,1556.1,822.8,30
flint,4.4,2.5,1263.8,705.2,30
flip,4,2.2,1577.4,908.5,31
flirt,4.9,2,1271.9,548.2,29
float,5.1,2.3,1283.3,654.5,31
flock,5.6,2.3,1073.7,350.7,30
flog,3.5,2.2,1524.8,877.6,30
flood,6.4,1.4,1231.4,942.6,31
flop,3.8,2.1,1484.8,914.1,30
floss,5.7,2.1,1365.9,894.6,31
flounce,2.6,2,1351.9,833.4,27
flour,6.5,1.3,1132.9,618.5,29
flow,3.8,2.3,1509.1,1036.3,29
flown,3.8,2.4,1733.9,912.5,28
flu,4.2,2.3,1401.9,686.3,30
flub,2.2,1.6,1610.1,882.6,31
fluff,3.8,2,1465.7,637.2,30
fluke,2.9,2.3,1457.5,836.1,30
flume,2.8,2.1,1668.9,866.2,31
flung,3.4,2.2,1367,757.7,29
flunk,3,2.3,1450.2,841.2,31
flush,3.8,2.3,1529.9,1080.2,29
flute,6.3,1.6,1164.4,675.2,31
flux,2.2,1.9,1482,1031.8,29
fly,5.9,1.6,1247.6,701.1,30
foal,4,2.8,1593,752.7,30
foam,5.7,1.9,1158.6,473.9,29
foe,3.5,2.4,1387,1064.7,31
fog,6,1.5,1166.1,519.6,29
fold,5.4,1.9,1350,735.7,29
folk,4.4,2,1377,630.8,30
fond,2.9,2.1,1509.7,921.6,30
font,4.5,2.3,1569.8,684.6,28
food,6,1.9,981.1,356.1,31
fool,3.7,2.2,1327.3,726.4,30
foot,6.7,1.1,982.9,376.9,31
for,1.3,0.5,1133.2,658,30
force,3.3,2.5,1588.8,1199.4,30
ford,5.2,2.2,1356.1,1016.1,30
fore,1.9,1.6,1283.6,728.5,31
forge,3.3,2.1,1497.5,697.7,30
fork,6.6,1.2,1341.3,1474.4,30
form,2.5,1.9,1388.3,1083.2,31
fort,6,1.9,1218.3,662.7,29
forth,3.2,2.3,1614.8,1280.7,30
fought,3.9,2.1,1680.1,778.2,29
foul,3.6,2.3,1346.2,577.7,30
found,2.7,2,1346.6,832.1,31
four,5.9,2,1488.4,870.8,31
fowl,5.1,2.3,1000.5,391.1,30
fox,6.4,1.5,1139.9,553.5,31
frail,3.4,2.2,1511.9,889.7,29
frame,6,1.7,1225,585.3,30
franc,2.6,2.2,1766.1,807,29
frank,3.7,2.7,1645.7,1206.9,30
fraud,2.9,2,1539.5,1038.1,28
fraught,1.6,1.1,1961.4,1334.8,31
fray,3.1,1.8,1572,1108.1,30
frays,3,2,1678.7,1188.7,31
freak,4.3,2.2,1634.4,785.7,31
free,3,2.3,1613.3,887,30
freeze,5.2,2,1199.4,635.8,30
freight,4.7,2.4,1782.2,1061.2,30
fresh,3.2,2.1,1693.3,1178.3,30
fret,2.6,2.1,1333,718,29
friend,5.6,2.1,1250.2,631.4,30
fright,3.3,2.1,1458.7,826.2,30
frill,3,1.9,1379.7,682.9,31
fringe,4.6,2.3,1477.8,489.9,30
frisk,3.6,2.3,1406.5,988.3,30
fritz,2.6,2,1584.8,968.7,31
frizz,4.6,2.3,1333.6,677.4,31
frock,3,2.2,1470.5,757.8,26
frog,6.7,1.2,979.3,430.3,31
from,2,1.7,1212.6,619.2,30
front,4.4,2.1,1404.7,765.6,27
frost,5.8,1.7,985.4,360.3,30
froth,3.1,2.1,1430.6,600,29
frown,5.8,1.8,1259,540.8,28
froze,5,2.1,1183.4,512.6,29
fruit,6.3,1.7,940.2,448.6,30
fry,5.4,2.1,1372.3,638.2,28
fudge,6.5,1.1,1181.5,689,28
fugue,1.8,1.7,1613.1,1110.6,30
full,3.4,2.1,1531.6,1205.9,30
fume,3.7,2.2,1714.3,1153.5,30
fun,3.6,2.2,1467.3,880.9,31
fund,3.4,1.9,1293.8,811.1,30
funk,2.6,1.9,1466.5,655.6,29
fur,6.4,1.5,1183.7,763.3,29
fuse,4.1,2.5,1238,512.3,31
fuss,2.7,1.8,1485.8,698.6,29
fuzz,5.5,2,1374.3,794.6,29
gab,3.2,2.2,1274.9,688.1,31
gag,4.1,2.5,1380,714.6,31
gain,2.8,2.3,1342,708.2,30
gait,2.6,2.1,1501.2,841.1,30
gale,2.8,2.1,1716.1,1391.1,31
gall,2.3,1.8,1726.3,1249.5,29
game,4.9,2.3,1658.8,1083.9,28
gang,5.5,2,1227.9,456.2,30
gap,4.9,2.6,1502.8,1125.7,29
gape,2.8,1.9,1419.7,645.1,29
garb,3,2,1342.3,836.6,28
gas,5.7,1.8,1455.1,757,29
gash,4.2,2,1402.3,961.1,29
gasp,4.1,2.4,1461.5,761.3,29
gate,6.1,1.7,1115.2,542.5,29
gauche,1.5,1.3,1244.1,505.6,28
gauge,3.8,2.2,1969.4,1172.6,30
gaunt,2.6,1.6,1199.9,551,30
gauze,5.2,2.4,1494.4,885.2,30
gave,2.3,1.8,1395.4,640.5,30
gawk,3.3,2,1566.2,842.7,30
gay,3.6,2.5,1518.4,866.8,30
gays,3.8,2.5,1897.4,1218.7,28
gaze,4,2.5,1428.7,600.2,28
gear,4.8,2.2,1437.4,877.1,31
geese,6.4,1.5,1363.9,1089.4,30
gem,6.3,1.4,1195.6,526.2,29
gene,3.8,2.3,1736.7,845.6,30
gent,3.1,2.4,1501.6,792.2,31
germ,5,2.3,1347.2,661.2,30
get,1.7,1.3,1289.7,806,29
ghost,6.6,1,1054.4,437.1,30
ghoul,5,2.3,1329.7,499.2,30
gift,6.1,1.7,1190.8,762.2,30
gig,3.6,2.3,1472.2,706.1,29
gill,5,2.1,1611.5,914.4,30
gilt,2.2,1.6,1709.1,975.1,30
gin,5.1,2.1,1542.7,922.4,31
girl,6.3,1.4,941.8,441.2,30
girth,2.9,1.9,1658,992.2,31
gist,2.1,1.8,1391.2,843.4,31
give,2.8,2.1,1348.5,667.4,30
glad,3,2,1543.7,826,28
glade,3.2,2.2,1601.4,846.9,30
glance,4.2,2.3,1403.7,680.1,28
gland,3.9,2.5,1679.3,1354.8,27
glare,3.7,2.2,1441,730,27
glass,6.5,1.3,1184,501.7,30
glaze,4.3,2.4,1307.1,863.6,28
gleam,3.4,2.2,1248.9,609.5,30
glee,2.8,1.9,1372.4,760.6,30
glen,2.3,2,1393.1,1047.9,30
glib,1.9,1.4,1546.6,779.8,29
glide,3.7,2.3,1351,758.4,30
glimpse,3.6,2,1479.2,682.2,30
glint,2.4,1.8,1569.6,868.6,29
gloat,2.8,2.1,1586.8,1162.7,28
glob,3.7,2.2,1433.6,713.8,29
globe,6.4,1.3,1148,639.5,31
gloom,3.2,1.9,1335.3,654.8,28
gloss,5.2,2.1,1402.2,706.9,30
glove,6.2,1.7,1115.9,459.5,31
glow,4.7,2.1,1319.3,723,29
glue,6.4,1.2,1237.3,997.8,30
glum,2.7,2.1,1450,960.5,30
glut,2.4,1.8,1518.5,747.6,31
gnash,2.3,1.5,1537.5,801.8,30
gnat,6.3,1.5,1324,596.6,30
gnaw,3.8,2.2,1319.4,790,28
gnome,5.2,2.3,1254,662.8,29
go,2.2,2,1330.6,1011.4,30
goal,4,2.4,1565.1,1026.3,30
goat,6.9,0.5,958,280.1,30
gob,3,2,1518.2,1090.1,31
god,5.7,2,1871,1268.2,30
gold,6.3,1.6,1147.5,506,31
golf,6.5,1.3,1040.6,476.5,30
gone,2.6,2.1,1486.5,1005.8,29
gong,4,2.4,1539.3,678.1,28
goo,4,2.6,1245.6,512.7,31
good,2.6,1.9,1262.6,605.7,31
goof,3,1.8,1638.4,923.6,30
goose,6.9,0.5,1034.7,400.7,31
gore,3.9,2.2,1547,871.7,31
gorge,4.7,2.3,1443.5,777.6,28
gosh,1.7,1.4,1475.1,983.1,30
got,1.8,1.3,1141.1,597.7,30
gouge,3,2.1,1312.9,873.1,30
gourd,4.5,2.6,1355,504.9,31
gown,6,1.8,1351.3,1132.6,30
grab,4.6,2,1514.8,917.6,30
grace,3.3,2.2,1856.7,1460.4,31
grade,4.9,2.3,1382.6,629.5,29
graft,2.1,1.8,1379.3,805.9,30
grail,3.1,2.2,1647.1,948.4,29
grain,5.8,2.2,1202.2,445.9,30
grand,2.7,1.9,1591.7,918.7,31
grant,3.1,2.4,1727.2,1156.3,29
grape,6.7,1.2,965.8,368.9,31
graph,6.2,1.8,1267.8,638,31
grasp,4.1,2.2,1534.2,840.5,31
grass,6.9,0.5,1052.4,487.4,29
grate,4,2.4,1488.9,848.4,29
grave,6.5,1.3,1314.3,579,30
gray,5.9,1.9,1227.3,439.6,30
graze,4.5,2.5,1265.5,577,31
grease,5.7,1.9,1326.3,740.8,31
great,2.5,2,1759.3,1200.9,31
greed,3.4,2.3,1517.3,1056.6,28
green,6.2,1.9,1052.6,398.2,31
greet,3.5,2.4,1544.4,729.6,31
grew,3.2,2.2,1481.7,830.8,29
grid,4.6,2.3,1645.6,1419.4,31
grief,3.5,2.2,1559.1,1202.8,29
grieve,3.4,2,1500.5,811.9,29
grill,5.9,2.1,1511.9,1502.8,29
grim,3,2.1,1551.5,832,28
grime,3.8,2.2,1488.3,868.9,30
grin,5.6,1.9,1314.5,678.9,31
grind,4,2.3,1668.1,1028.8,31
grip,4.5,2.2,1295.3,614.4,31
gripe,3,2,1790.2,1081.2,28
grit,4,2.1,1839.4,1178,29
grits,5.4,2,1547.5,912,31
groan,3.6,2.2,1378.3,848.8,30
groin,5.1,2.4,1266.2,576.6,31
groom,5.7,2.1,1120.1,627.4,29
groove,4.1,2.1,1524.6,625.6,30
grope,3.3,2.3,1311.4,634.5,28
gross,3.8,2.2,1783.3,1126.9,30
grouch,3.5,2,1673.3,1128.2,30
ground,5.9,2.1,1336.7,873.4,31
group,5.2,2.1,1382.6,897.3,28
grouse,3,2.3,1427.4,865.4,30
grove,4.2,2.2,1565,1009.4,29
grow,3.9,2.2,1734,969,30
growl,4,2.2,1415.6,651.1,31
grub,4.1,2.2,1496.4,979.6,28
grudge,2.9,1.9,1522.5,873.9,30
gruff,2.4,1.8,1343.5,1002.2,29
grunt,3.4,2.3,1311.6,784.9,30
guard,5.8,2.2,1092.1,449.8,30
guess,2.6,2,1428.6,925,31
guest,4.8,2.2,1539.3,763.3,29
guide,4,2.4,1510.6,857.9,29
guild,3,2.1,1664,1078.9,31
guile,1.8,1.2,1709.6,1430,31
guilt,3.3,2.1,1729.4,1322.3,28
guise,2.7,2.2,1517.8,1023.2,31
gulf,5.1,2.2,1798.2,1268.3,29
gull,3.3,2.5,1597.8,819.1,30
gulp,4.4,2.2,1368.5,820.9,31
gum,6.4,1.6,1099.5,466.6,31
gun,6.6,1.1,1064.1,542.3,29
gush,3.1,2.3,1164.2,678.7,28
gust,3.3,2.2,1534.9,679.7,31
gut,5.6,2.2,1085.4,414.7,31
guy,6.5,1.2,1183.5,504.7,27
gym,6.5,1.4,991.1,325.2,31
gyp,1.8,1.4,1437,755.3,31
hack,3.1,2.1,1840.4,1149.2,30
had,1.7,1.3,1248.8,725.3,30
hag,4,2.3,1414.5,765.6,28
hail,4.3,2.4,1480.8,902.9,29
hair,6.3,1.4,918.8,378.2,29
hale,2.6,1.8,1771.4,1299.4,30
half,3.5,2.3,1595.7,849.5,31
hall,5.9,1.9,1183.1,553.3,28
halt,3.5,2.1,1520.8,1059.9,30
halve,3.6,2.1,1962.7,1116.7,29
ham,6.7,1.1,1056.2,440.8,31
hand,6.4,1.6,992.8,375.5,31
hang,4.4,2.1,1638.2,714.6,31
hank,2.8,2.2,1553.3,1003.5,31
hard,3.3,2.3,1374.6,738.7,28
hare,5,2.5,1459,870,29
hark,2.2,2,1450.1,800.1,31
harm,3.3,2.2,1495.5,1058.5,30
harp,5.5,2.3,1217,856.8,28
harsh,2.9,1.7,1628.9,1203.3,30
hart,2.1,2,1844.6,1280.8,29
has,1.6,1.4,1164.9,873.6,30
hash,3.9,2.4,2020.1,1532,29
haste,2.9,1.9,1336.1,839.7,31
hat,6.7,0.9,912.5,378.7,31
hatch,4.1,2.2,1600.5,1117,31
hate,3,2.2,1440.6,746.6,30
hath,1.6,1.3,1255.9,713,30
haul,3.6,2.1,1657.3,1323.3,28
haunt,4,2.5,1563,992.2,29
have,1.9,1.5,1252.8,856.9,30
hawk,6.8,1.1,1045.7,415.7,31
hay,6.7,0.7,1135,434.8,30
haze,4.3,2.2,1387.1,829.8,30
he,3.5,2.5,1407.3,1187.6,29
head,6.8,0.8,1128.1,647.7,29
heal,3.3,2.3,1404.6,795.9,29
health,3.9,2.2,1544.8,1199.7,29
heap,3.8,2.2,1472.6,1041.3,28
hear,3.3,2.1,1368.8,869.5,30
heard,3.1,2.1,1633.1,949.8,30
hearse,4.6,2.7,1380.6,693.8,29
heart,6.7,1.2,1165.8,682.7,31
hearth,4.7,2.4,1602.8,1362.1,29
heat,3.9,2.2,1852.8,968.8,31
heath,2.6,2,1976.4,1160,29
heave,2.8,2,1321.3,575.6,31
hedge,5.8,1.8,1222.4,482.1,30
heed,2.3,1.7,1520.1,1082,29
heel,5.8,2,1335.2,734.9,31
heft,2,1.5,1339.7,620.3,30
height,4,2.3,1320.6,546.1,31
heir,3.6,2.3,1453.6,1054.1,29
heist,2.9,2,1562.9,1153.3,31
held,3.8,2.1,1420.4,820.6,30
hell,5.3,2.2,1687.2,1042.2,27
helm,2.9,2.2,1260.2,702.8,30
help,2.8,1.9,1468.6,954.6,28
hem,4.6,2.2,1287.9,786.7,28
hemp,5.7,1.9,1416.6,753.1,30
hen,6.4,1.5,1117.8,946.6,31
hence,2.1,1.6,1149.5,494,30
her,3.5,2.6,1496.1,1228.1,28
herb,5.3,2.1,1326.1,684.2,30
herd,5.6,1.9,1476.4,946.8,31
here,1.8,1.5,1260.2,744.2,31
hertz,2.9,2.2,1796.7,1422.7,31
hex,2.1,1.7,1432.9,858,30
hick,4.6,2.3,1426.4,596.2,30
hid,3,2.1,1465.7,790.6,30
hide,3.7,2.2,1360,831.9,28
hike,5.6,1.6,1523.9,806.3,30
hill,6.3,1.4,895.8,263.8,30
hilt,2.6,2,1479.4,929.2,30
him,4.2,2.3,1513.6,915.7,31
hind,2.8,1.9,1572.6,921.3,30
hinge,5,2.3,1420.7,747.3,30
hint,2.9,1.6,1648.9,1134.2,30
hip,5.8,2.1,1008.8,508.1,31
hire,3.3,2.4,1533.7,995.8,30
his,2.6,2.1,1411.9,966.8,31
hiss,3.9,2.4,1290.6,575.1,29
hit,4.4,2.3,1214.2,392.1,28
hitch,3.7,2.3,1871.7,1386.4,29
hive,5.6,1.9,1482.2,814.8,31
hives,5.7,1.5,1503.4,560.8,31
hoard,3,1.9,1634.4,868.2,29
hoarse,3.1,1.9,1653.6,789.8,24
hoax,2.7,2.2,1424.8,745.2,31
hock,2.5,1.9,1476.2,1201.4,31
hoe,5.9,1.7,1622.2,981.6,30
hoes,4.5,2.6,1927.5,1339.3,29
hog,6.6,0.9,1138,606.1,30
hoist,3.2,2.2,1146.9,606,30
hold,4,2.5,1337.3,774.2,31
hole,5.8,1.6,1396.4,678.7,31
home,5.7,2.1,1222.5,622.1,31
hone,2,1.5,1181.3,592.7,31
honk,4.6,2.2,1263.2,662.8,31
hood,6.2,1.6,1240.3,639.2,31
hoof,5.3,2.4,1212.8,1088.7,31
hook,5.7,1.9,1441.3,932.9,30
hoop,5.6,2.2,1212.6,491.9,31
hoot,3.5,2.2,1406,731,30
hooves,5.7,2,1357.1,687.4,31
hop,5,2.2,1197.7,673.6,29
hope,3,2.3,1377.3,732,29
horde,2.7,1.7,1462.8,974.9,31
horn,6.1,1.7,1241.3,873.4,30
hose,6.1,1.7,1134.6,581.5,29
host,4,2.2,1314.3,750.6,30
hot,4.4,2.1,1615.4,1192.1,31
hound,6.5,1.4,1166.9,555.8,30
hour,3.5,2.2,1476.7,709.2,28
hove,1.9,1.5,1768.1,1204.8,30
how,1.7,1.3,1279.1,772.4,30
howl,4.8,2.3,1599.1,1214.6,31
hub,3.5,2.5,1818.1,1290.1,29
hue,2.9,2.1,1645.4,985.3,31
huff,3.2,2.3,1328.9,882.1,31
hug,5.9,1.9,1161.8,521.8,30
huge,4.2,2.3,1690.3,1348.2,31
hulk,4,2.4,1460.6,860.3,31
hull,3.5,2.5,1493.5,997.2,28
hum,3.8,2.3,1433.1,851.1,30
hump,5.1,2.1,1414.9,729.3,31
hunch,2.6,1.9,1733,1447.9,31
hung,4.1,1.9,1476.4,740.1,30
hunk,4.8,2.1,1546.8,644.1,29
hunt,4.6,2.2,1248.6,503.1,31
hurl,4.4,2.1,1485.4,679.1,28
hurt,3.6,2.2,1471,931.2,30
hush,2.9,2.1,1437.4,955.8,31
husk,3.7,2.5,1661.8,835.3,30
hut,6.1,1.7,1212,537.4,30
hutch,4,2.5,1414.6,787.7,30
hymn,4.5,2.1,1713,920.7,29
hype,2.4,1.5,1367.8,638.8,31
ice,6.3,1.6,1077.1,554.8,31
ides,1.8,1.6,1776.3,1130.1,30
if,1.4,1.2,1137.3,834.5,31
ill,4,2,1592,902.9,29
imp,2.2,2.1,1339,616.5,31
in,1.7,1.2,1190.2,800.4,30
inch,4.9,2.2,1472.4,814.5,29
ink,6.4,1.5,1050.9,466.1,31
inn,5.8,1.9,1292.8,679.4,30
ire,1.4,1,1356,905.1,31
irk,2,1.4,1225.1,533.9,31
is,1.2,0.5,954.5,359.2,30
isle,4.9,2.1,1859,896.1,31
it,1.6,0.9,1271.8,905.9,29
itch,4.9,2.2,1442,712.8,30
jab,4.1,2,1332.2,741.3,30
jack,4,2.5,1512,730.9,29
jade,4.8,2.2,1796.8,1497,31
jag,3.1,1.9,1861.8,1426.6,28
jail,6.6,1.2,1185.7,871.2,31
jam,5.9,2,1300.9,788.5,29
jar,6.8,0.7,1019.3,463.9,31
jaunt,2.1,1.7,1223.5,659.6,30
jaw,6.5,1.5,1097.3,389.6,29
jay,3.9,2.5,1524.9,793.5,28
jazz,4.4,2.2,1488.2,766.7,30
jeans,6.6,1.1,950.5,475.7,28
jeer,2.4,2.1,1395.7,695.4,31
jell,2.8,2,1811.2,1134.8,26
jerk,4.7,2.1,1203.6,434.4,31
jest,2.4,1.9,1575.6,1036.6,30
jet,6.3,1.5,1112.7,941.1,28
jibe,1.9,1.5,1383.2,964.6,27
jig,3.5,2.3,1486.6,583.3,30
jinx,2.6,1.9,1571.7,1058.3,31
job,4.3,2.3,1332.8,568.9,29
jog,5.4,2,1366.7,924.2,31
join,3,1.8,1606.9,648,30
joint,5.2,2.2,1449.5,824.7,29
joke,3.6,2.1,1586.3,1051.4,31
jolt,3.7,2,1474.5,777.8,30
josh,4.4,2.7,1407.5,742.5,30
jot,3,2,1686.6,866,31
joust,4.3,2.5,1313.5,546.7,31
jowl,2.3,2.1,1432.4,832.7,30
joy,3.7,2.4,1308.8,830.8,31
judge,6,2,1219.1,585.9,28
jug,5.9,1.9,1080.4,667.6,29
juice,6.3,1.7,1019.3,390.5,30
jump,4.8,2.2,1132.2,348.9,30
junk,5.4,2.1,1222.3,616.2,30
just,1.8,1.4,1406.9,1090.6,31
keel,2.3,1.9,1549.2,813,30
keen,2.3,1.7,1296.4,711.9,28
keep,2.8,2.1,1301.4,747.5,30
keg,6.2,1.4,1267.9,684.8,30
kelp,2.7,1.9,1514.3,990,30
kept,2.1,1.6,1440.6,815.8,29
key,6.4,1.5,1153,629,31
kick,5.1,1.9,1470.2,1031.1,30
kid,6.1,1.4,1098.1,584.7,31
kill,4.8,2,1730.8,838.5,31
kiln,3.6,2.4,1339.2,526.9,30
kilt,5,2.4,1402.8,694,30
kin,3.6,2.2,1494.5,753.5,30
kind,2.7,2.2,1086.6,674.7,28
king,6.4,1.4,1316.6,769.4,31
kink,4,2.3,1365.9,931.5,31
kiss,6.1,1.7,1153.4,677.3,31
kit,4.6,2.4,1717.7,833.2,30
kite,6.5,1.5,978.6,394.8,30
knack,2.7,2.2,1772.1,1157.6,31
knave,2.2,1.8,1226.8,456.2,29
knead,4.2,1.9,1467.9,639.9,31
knee,6.4,1.4,1201.4,703.4,30
kneel,4.7,2.1,1507.9,812.4,29
knell,2.6,2.2,1531,1244.9,30
knelt,4.4,2.1,1324.8,725.7,28
knew,2.2,1.8,1517.4,1194.8,31
knife,6.8,1,1129.3,739.3,31
knight,6.4,1.6,1197.8,526.8,31
knit,5.4,1.8,1283.8,551,31
knob,5.9,1.8,1410.1,908.2,30
