word,imageability,sd_rating,rt,sd_rt,n_raters
bliss,3.1,2.1,1425.1,741.4,29
blithe,1.6,1,1437.9,796.1,31
blitz,3.4,2.4,1528.3,945.5,30
bloat,3.7,2.2,1278,556.4,28
blob,4.4,2.2,1557.9,1034,31
block,5.7,1.8,1578.6,889,29
bloke,2.4,1.8,1619,1166,31
blonde,6.3,1.4,1013,430,31
blood,6.4,1.4,1088,610.9,30
bloom,5,2.2,1320.3,684.4,28
blot,4,2.4,1346.2,830.2,31
blotch,4.2,2.2,1333.5,637.7,31
blouse,6.4,1.4,1173.9,487.6,31
blow,4.2,2.2,1488.8,929.2,31
blown,3.4,1.9,1665.5,1026.8,30
blue,6.1,2,1198.3,638.4,30
bluff,3.7,2.3,1437,916.2,30
blunt,4.3,2.5,1743.6,1181.3,29
blur,4.1,2.1,1547.7,847.3,29
blurt,2.7,1.9,1323.4,707.3,31
blush,5.2,2.2,1602.9,1222.4,31
boar,4.6,2.7,1624.7,1026,31
board,5.8,1.9,1409.4,1020.9,31
boast,2.8,1.8,1540.8,986.1,29
boat,6.7,1,906.1,325,31
bob,3.5,2.7,1500.7,901.5,28
bode,2,1.6,1220.8,911.3,31
bog,2.9,2,1450.4,715.9,30
boil,5.5,1.7,1395.7,949.1,30
bold,2.9,2,1724.6,1226.9,29
bolt,5.6,1.9,1490.4,839.8,31
bomb,6.4,1.5,1263.9,974.9,30
bond,4,2.4,1534.3,932.7,31
bone,6.4,1.4,1091.7,557.3,29
book,6.3,1.7,1272.2,651.3,30
boom,3.8,2.4,1634.2,1012.6,27
boon,2,1.8,1418.6,760.1,29
boost,2.9,2,1521.5,857.1,31
boot,6.9,0.5,1042,503.1,30
booth,5.6,2.2,1122.2,499.2,29
booze,5.9,1.7,1395.1,780.9,30
bore,2.5,2,1605.1,1004.7,31
bored,3.6,2.5,1364.9,826.7,29
borne,2.4,1.6,1869.7,1246.2,28
bosh,1.8,1.3,1165.7,597.7,29
boss,5.1,2.4,1277.1,682.5,30
botch,2.4,1.7,1711.5,1019.7,28
both,2.3,1.5,1559.3,1000.4,30
bough,2,1.7,1498,1135.9,31
bought,3.2,2.5,1348.4,1077.2,28
bounce,4.7,2,1272.1,512.2,31
bound,3.3,2.1,1286.4,529.2,27
bout,1.8,1.6,1351.7,884.8,30
bowl,6.3,1.7,1577.2,1299.2,31
box,6.7,0.6,1138,564.4,31
boy,6.2,1.6,1201.6,742,31
bra,6.6,1.2,1047.4,532.9,30
brace,4.8,2.1,1579.8,957.5,31
brag,3.1,2.3,1526.9,1026.5,28
braid,5.9,2,1249.3,593.7,31
brain,6.4,1.5,1092.8,584.7,31
braise,2,1.5,1396.1,747,29
brake,5.3,2.3,1134.3,592,31
bran,3.2,2.4,1489.8,908.7,30
branch,6,1.8,1223.1,719.6,30
brand,3.9,2.3,1400.4,678.7,30
brash,2.3,1.9,1186.4,648.5,30
brass,5.8,1.8,1242.9,520.8,31
brat,5,2.2,1611.4,1042.3,28
brave,3.3,2.1,1454.7,909.9,31
brawl,4.1,2.1,1529.2,907.8,31
braze,2.3,1.6,1763.6,1064.2,28
breach,3.3,2.2,1498.9,944.8,28
bread,6.2,1.8,941,511.8,31
breadth,1.8,1.1,1683.5,816.5,30
break,4.5,2.3,1719.5,855.3,30
breast,6.7,0.9,1193.5,481.8,31
breath,5,2.2,1322.4,658.7,30
breathe,3.8,2.4,1382.8,778.1,31
bred,3.1,2.2,1725.5,875.8,30
breech,2.8,2,1809,1007.2,27
breed,3.9,2.4,1559.1,690,29
breeze,4.4,2.2,1402.8,667.1,30
brew,4.6,2.3,1408.6,667.9,28
bribe,3.7,2.1,1654.9,942.1,30
brick,6.6,1.1,1053.4,737.7,29
bride,6.4,1.7,1089.9,649.7,29
bridge,6.7,1,1229.9,758.7,31
brief,2.5,1.9,1397.6,910.5,31
brig,2.2,1.8,1839.4,1155,30
bright,4.4,2.2,1696,941.2,29
brim,3.8,2.5,1557.8,918.4,28
bring,2.6,1.9,1418.5,887.6,29
brink,3.1,2.2,1539.6,879.3,30
brisk,2.6,1.7,1822,1000.1,30
broach,4,2.5,1498.1,934,31
broad,3.3,2.3,1613.5,1032.5,30
broil,4.3,2.1,1650.7,1284.4,30
broke,3.7,2.3,1404.3,825,28
bronze,5.6,1.9,1425.5,899.4,29
brooch,3.3,2.3,1535.7,1134.5,30
brood,3.2,1.9,1528.4,947,28
brook,5.8,1.6,1268.8,569.3,30
broom,6.6,1.5,1142.5,655.7,30
broth,4.5,2.5,1325.5,806,31
brought,2.1,1.8,1306.7,754.1,31
brow,4.8,2.2,1557.8,901.6,30
brown,5.8,2,1145.8,662.2,31
browse,3.6,2.3,1424.9,960.2,28
bruise,6.3,1.3,1234.5,570.8,30
brunch,3.8,2.3,1348.3,727.7,30
brunt,2.1,1.8,1574.5,1100.4,30
brush,6.2,1.6,1239.8,653.2,29
brute,4,2.4,1460.7,777.1,29
buck,5.9,1.8,1325.5,660.8,29
bud,4.9,2.4,1571.3,1041.1,31
budge,3.1,2.3,1598.5,885.3,30
buff,4,2.2,1335.5,689.1,31
bug,6.7,0.8,1209.4,730.3,30
build,3.8,2.2,1643.7,1031.9,30
built,3.4,2.3,1431.3,979.6,28
bulb,6.6,1.2,1502.9,1462.2,31
bulge,4.8,2.1,1470.8,932,29
bulk,3.5,2.4,1744.9,1053.7,29
bull,6.2,1.9,1004.3,397.4,30
bum,5,1.9,1650,993,30
bump,4.9,2.4,1382.8,887.4,30
bun,6,1.8,1112.4,431.6,31
bunch,4,2.1,1601.6,1100.8,30
bunk,4.8,2.4,1513.4,898.1,29
bunt,3.8,2.6,1546.5,904.8,29
burl,1.8,1.8,1614.1,998.6,29
burn,4.7,2.2,1355.2,800.2,31
burp,4.7,2.2,1197.5,481,31
burr,4.4,2.2,1535.3,841.2,31
burst,3.5,2.3,1246.6,611,31
bus,6.8,0.5,1084,689,31
bush,6.3,1.5,1396.2,721.7,31
buss,2.2,1.7,1864.5,889.6,24
bust,4.6,2,1595.1,715,30
but,1.9,1.7,1709.2,1394.9,31
butch,4.5,2.2,1781.5,1162.7,31
butt,6.3,1.5,1272.8,733.7,31
buy,3.6,2.1,1419.1,759,29
buzz,4,2.1,1637.8,1094.2,30
by,1.6,1.5,1273.9,919.6,31
bye,2.9,2.3,1439.9,800.4,30
cab,6.7,1.2,1154.1,576.7,30
cache,2.6,2.2,1321.3,701.7,31
cage,6.4,1.3,1129.5,556.9,30
cake,6.8,0.7,1104.9,595.1,31
calf,6.5,1.4,1161.5,636.1,30
call,4.4,2.3,1418.3,803.9,30
calm,2.8,2.1,1349.7,762.3,27
calve,5.2,2.4,1471.7,648.9,28
cam,2.6,2,1720.8,847.2,27
came,2.4,2,1242.8,462.6,31
camp,6.4,1.3,1288.8,854.6,31
can,5.1,2.6,1445.6,783.2,29
cane,6.4,1.6,1171.2,649,31
cap,6.2,1.8,1217.2,664.9,31
cape,6.2,1.5,1140.1,526.7,30
car,6.9,0.8,984.8,350.4,31
card,6.4,1.4,1334.7,645.5,28
care,3.1,2.3,1272.5,596.9,31
carp,4.6,2.5,1628.9,911.7,30
cart,6,1.9,1131.8,551.3,30
carve,4.8,2.2,1259.4,607.2,28
case,4.5,2.4,1475,828.9,27
cash,6.6,0.8,1258.8,415.5,30
cask,2.7,2.1,1493.8,1051.8,29
cast,4.4,2.6,1473.3,878.1,31
caste,2.4,1.7,1957.2,1157.1,27
cat,6.5,1.6,850.7,302.9,31
catch,4.4,2.4,1305.2,869.9,29
caught,3.3,2,1330.4,656.6,30
caulk,3.7,2.6,1260,621,29
cause,1.8,1.1,1405.9,1003.2,30
cave,6.7,0.7,1101.2,598.4,30
cease,2.7,2,1489.3,986.9,28
cell,5.8,1.9,1500.8,934.7,31
cent,5.7,2,1454.7,793.8,30
chafe,2.5,1.6,1555.9,937.3,31
chaff,2.2,1.8,1498.1,955.8,30
chain,6.5,1.3,1065.3,577.9,31
chair,6.5,1.3,1165.6,1185,30
chaise,2,1.5,1571.6,987.7,28
chalk,6.8,0.8,1336.3,639.3,31
champ,4.6,2.3,1260.5,583.8,31
chance,2.1,1.7,1329.9,734.4,30
change,3.2,2.3,1525.9,1105.5,30
chant,4,2.3,1302.9,556.2,30
chap,3.5,2.3,1704.5,1249.5,31
char,3.2,2.1,1569.1,794.4,31
chard,2.9,2.1,1647.6,1270.6,31
