item_id,word
401,bite
402,blow
403,break
404,bring
405,build
406,bump
407,buy
408,carry
409,catch
410,chase
411,clap
412,clean
413,climb
414,close
415,cook
416,cover
417,cry
418,cut
419,dance
420,draw
421,drink
422,drive
423,drop
424,dry
425,dump
426,eat
427,fall
428,feed
429,find
430,finish
431,fit
432,fix
433,get
434,give
435,go
436,hate
437,have
438,hear
439,help
440,hide
441,hit
442,hold
443,hug
444,hurry
445,jump
446,kick
447,kiss
448,knock
449,lick
450,like
451,listen
452,look
453,love
454,make
455,open
456,paint
457,pick
458,play
459,pour
460,pretend
461,pull
462,push
463,put
464,read
465,ride
466,rip
467,run
468,say
469,see
470,shake
471,share
472,show
473,sing
474,sit
475,skate
476,sleep
477,slide
478,smile
479,spill
480,splash
481,stand
482,stay
483,stop
484,sweep
485,swim
486,swing
487,take
488,talk
489,taste
490,tear
491,think
492,throw
493,tickle
494,touch
495,wait
496,wake
497,walk
498,wash
499,watch
500,wipe
501,wish
502,work
503,write
